created_at,text,retweets,likes
Wed Mar 03 21:50:38 +0000 2021,"[NYC Vaccine Hub · Bronx] Morris Academy for Collaborative Studies: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",14,10
Wed Mar 03 21:48:24 +0000 2021,"[NYC Vaccine Hub · Bronx] Bronx Science: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",14,14
Wed Mar 03 21:45:36 +0000 2021,"[NYC Vaccine Hub · Queens] August Martin High School: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",12,9
Wed Mar 03 21:43:19 +0000 2021,"3) Vaccine hubs are for NYC residents (not Borough specific) OR people who live outside NYC but work in NYC as part of an eligible employment group (I.e teachers, healthcare workers, restaurant workers, etc)

But if you qualify by age or underlying condition you MUST live in NYC",7,103
Wed Mar 03 21:43:19 +0000 2021,"1) Vaccine Hubs can serve up to 10-20 people per appointment slot, so the number of appointments may actually be much greater than the 30 or 40 that you see posted here

2) You must go back to the same site for the second dose",9,81
Wed Mar 03 21:43:18 +0000 2021,A knowledge person sent over some answers to some questions that people are posting in the replies,7,67
Wed Mar 03 21:42:57 +0000 2021,"[NYC Vaccine Hub · Queens] Hillcrest High School: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",9,10
Wed Mar 03 21:40:32 +0000 2021,"[NYC Vaccine Hub · Queens] Beach Channel Educational Campus: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",5,6
Wed Mar 03 21:37:12 +0000 2021,"[NYC Vaccine Hub · Queens] Aviation High School: 36 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3

https://t.co/jQDJPwNCK4",11,19
Wed Mar 03 21:34:34 +0000 2021,"[NYC Vaccine Hub · Manhattan] Essex Crossing: 36 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3

https://t.co/jQDJPwNCK4",21,29
Wed Mar 03 21:31:24 +0000 2021,"[NYC Vaccine Hub · Manhattan] A. Philip Randolph Campus High School: 36 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3

https://t.co/jQDJPwNCK4",20,13
