,year,on spotify?
1198,2013,No
1199,2013,No
1200,2010,No
1201,2011,No
1202,2016,Yes
1203,2015,Yes
1204,2012,No
1205,2020,No
1206,2019,Yes
1207,2016,No
1208,2019,No
1209,2011,No
1210,2020,Yes
1211,None,No
1212,2016,Yes
1213,2014,No
1214,2020,No
1215,2016,No
1216,2014,Yes
1217,2019,No
1218,2016,Yes
1219,2019,Yes
1220,2014,No
1221,2020,No
1222,2012,No
1223,2018,No
1224,2018,No
1225,2015,Yes
1226,2021,No
1227,2019,No
1228,2018,Yes
1229,2016,Yes
1230,2012,No
1231,2015,No
1232,2017,Yes
1233,2018,Yes
1234,2019,No
1235,2016,Yes
1236,2018,Yes
1237,2019,No
1238,2020,No
1239,2016,No
1240,2014,No
1241,2014,Yes
1242,2019,No
1243,2016,No
1244,2012,No
1245,2018,No
1246,2012,No
1247,2019,No
1248,2013,Yes
1249,2015,No
1250,2020,No
1251,2017,No
1252,2015,No
1253,2015,Yes
1254,2010,No
1255,2020,Yes
1256,2017,No
1257,2013,Yes
1258,2010,No
1259,2016,Yes
1260,2012,No
1261,2020,Yes
1262,2015,No
1263,2016,No
1264,2015,Yes
1265,2013,No
1266,2019,Yes
1267,2019,Yes
1268,2014,No
1269,2016,No
1270,2016,No
1271,2016,No
1272,2015,No
1273,2017,Yes
1274,2018,Yes
1275,2010,No
1276,2019,No
1277,2013,No
1278,2014,No
1279,2020,No
1280,2018,No
1281,2014,No
1282,2012,No
1283,2013,No
1284,2013,Yes
1285,2019,No
1286,2010,No
1287,2020,No
1288,2020,Yes
1289,2019,Yes
1290,2010,No
1291,2020,Yes
1292,2010,No
1293,2020,No
1294,2015,No
1295,2012,No
1296,2016,No
1297,2011,No
1298,2013,No
1299,2016,Yes
1300,2013,No
1301,2018,Yes
1302,2020,Yes
1303,2012,No
1304,2014,No
1305,2014,No
1306,2015,No
1307,2020,No
1308,2018,No
1309,2013,No
1310,2014,No
1311,2010,Yes
1312,2010,No
1313,2016,Yes
1314,2020,No
1315,2019,Yes
1316,2019,No
1317,2013,No
1318,2020,No
1319,2019,Yes
1320,2019,No
1321,2020,No
1322,2013,No
1323,2017,No
1324,2011,Yes
1325,2010,No
1326,2012,No
1327,2019,No
1328,2012,No
1329,2014,No
1330,2016,No
1331,2019,Yes
1332,2012,No
1333,2017,Yes
1334,2020,No
1335,2020,Yes
1336,2010,No
1337,2013,No
1338,2016,No
1339,2020,No
1340,2014,Yes
1341,2013,No
1342,2020,Yes
1343,2014,Yes
1344,2018,Yes
1345,2015,No
1346,2020,Yes
1347,2018,No
1348,2012,No
1349,2019,No
1350,2016,Yes
1351,2016,No
1352,2017,No
1353,2013,Yes
1354,2019,No
1355,2013,No
1356,2020,Yes
1357,2012,No
1358,2019,No
1359,2018,No
1360,2010,No
1361,2020,No
1362,2017,Yes
1363,2019,No
1364,2017,No
1365,2012,No
1366,2017,Yes
1367,2015,No
1368,2017,No
1369,2008,No
1370,2019,No
1371,2018,Yes
1372,2015,No
1373,2019,No
1374,2012,Yes
1375,2013,Yes
1376,2014,No
1377,2010,Yes
1378,2016,No
1379,2011,No
1380,2013,No
1381,2016,No
1382,2017,No
1383,2020,No
1384,2021,No
1385,2014,Yes
1386,2010,No
1387,2015,No
1388,2015,Yes
1389,2020,Yes
1390,2013,No
1391,2019,No
1392,2016,No
1393,2019,No
1394,2015,Yes
1395,2015,No
1396,2020,Yes
1397,2013,No
1398,2019,No
1399,2013,Yes
1400,2020,Yes
1401,2017,Yes
1402,2017,No
1403,2020,No
1404,2017,Yes
1405,2016,Yes
1406,2014,Yes
1407,2016,Yes
1408,2016,Yes
1409,2019,No
1410,2016,No
1411,2014,No
1412,2012,No
1413,2014,No
1414,2015,No
1415,2016,Yes
1416,2020,Yes
1417,2010,Yes
1418,2014,No
1419,2017,No
1420,2020,No
1421,2017,Yes
1422,2015,No
1423,2013,No
1424,2016,No
1425,2020,No
1426,2011,No
1427,2013,No
1428,2013,No
1429,2015,No
1430,2018,No
1431,2017,Yes
1432,2020,No
1433,2017,No
1434,2017,No
1435,2020,No
1436,2010,No
1437,2017,Yes
1438,2010,No
1439,2013,No
1440,2012,No
1441,2019,No
1442,2011,No
1443,2016,No
1444,2014,No
1445,2011,No
1446,2017,Yes
1447,2013,No
1448,2017,No
1449,2020,No
1450,2014,No
1451,2015,No
1452,2017,No
1453,2019,No
1454,2015,No
1455,2013,No
1456,2017,No
1457,2020,Yes
1458,2019,Yes
1459,2011,Yes
1460,2020,No
1461,2021,No
1462,2012,No
1463,2020,No
1464,2017,No
1465,2018,Yes
1466,2013,No
1467,2019,Yes
1468,2015,No
1469,2020,No
1470,2020,Yes
1471,2010,Yes
1472,2015,No
1473,2014,Yes
1474,2010,No
1475,2010,Yes
1476,2014,No
1477,2011,No
1478,2010,No
1479,2021,Yes
1480,2010,No
1481,2013,No
1482,2020,No
1483,2018,No
1484,2013,No
1485,2012,Yes
1486,2017,No
1487,2019,No
1488,2012,No
1489,2018,No
1490,2014,No
1491,2016,Yes
1492,2019,Yes
1493,2012,Yes
1494,2017,No
1495,2015,No
1496,2019,Yes
1497,2016,No
1498,2017,Yes
1499,2018,Yes
1500,2016,No
1501,2017,Yes
1502,2013,No
1503,2015,No
1504,2012,No
1505,2013,No
1506,2020,No
1507,2020,No
1508,2020,No
1509,2011,No
1510,2020,No
1511,2012,No
1512,2019,No
1513,2014,No
1514,2017,No
1515,2017,No
1516,2011,Yes
1517,2012,No
1518,2013,No
1519,2020,Yes
1520,2021,Yes
1521,2020,No
1522,2017,No
1523,2012,No
1524,2016,No
1525,2013,No
1526,2018,No
1527,2016,No
1528,2021,No
1529,2015,No
1530,2016,Yes
1531,2014,No
1532,2016,Yes
1533,2015,Yes
1534,2020,Yes
1535,2018,Yes
1536,2010,No
1537,2012,No
1538,2013,No
1539,2014,Yes
1540,2013,No
1541,2020,No
1542,2014,No
1543,2017,No
1544,2020,No
1545,2019,No
1546,2020,Yes
1547,2015,No
1548,2013,No
1549,2020,Yes
1550,2017,No
1551,2018,No
1552,2019,No
1553,2014,No
1554,2015,No
1555,2012,No
1556,2011,No
1557,2012,Yes
1558,2017,Yes
1559,2018,No
1560,2017,Yes
1561,2017,No
1562,2016,No
1563,2010,No
1564,2019,No
1565,2015,No
1566,2020,Yes
1567,2016,No
1568,2016,No
1569,2013,No
1570,2020,Yes
